URL_LENGTH,TLD,STATE,REGDATE,ZIPCODE,CITY,CONTENT_ENCODING,CONTENT_TYPE,CLASS
43,1,1,1,0,0,1,1,1
48,1,1,1,0,0,1,1,1
43,4,1,0,0,0,1,2,1
39,4,1,0,0,0,0,3,1
39,1,0,1,1,1,0,1,1
38,1,0,1,1,1,0,1,1
49,4,1,0,0,0,0,3,1
51,1,1,0,0,0,0,2,1
46,1,1,0,0,0,0,3,1
32,1,1,0,1,1,0,3,1
58,4,0,0,0,0,1,1,1
54,1,1,0,0,0,0,2,1
54,1,1,0,0,0,0,2,1
36,1,1,0,0,0,0,3,1
58,4,0,0,0,0,0,1,1
31,1,1,0,0,0,0,1,1
51,4,0,0,0,0,1,1,1
39,1,1,0,0,0,0,2,1
19,4,0,0,1,1,1,1,1
19,4,0,0,1,1,1,1,1
39,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
50,4,0,0,0,0,1,1,1
21,4,1,0,1,1,1,2,1
41,4,0,0,1,1,0,1,1
37,1,1,0,1,1,0,2,1
67,1,0,0,0,1,0,3,1
80,4,0,0,1,1,0,1,1
40,1,1,0,1,1,0,2,1
37,1,1,0,1,1,0,2,1
36,1,0,1,0,1,1,1,1
46,4,0,0,1,1,1,2,1
58,4,0,0,0,0,1,1,1
58,4,0,0,0,0,0,1,1
47,4,0,0,1,1,1,2,1
43,1,1,0,0,0,0,3,1
33,1,1,0,0,0,0,1,1
60,1,1,0,0,0,0,3,1
59,1,1,0,0,0,0,3,1
60,1,1,0,0,0,0,3,1
59,1,1,0,0,0,0,3,1
43,2,0,0,0,0,1,1,1
104,1,1,0,0,0,1,2,1
30,4,0,0,0,0,0,3,1
41,1,1,0,0,0,0,1,1
33,1,1,0,1,1,0,3,1
55,4,0,0,1,1,0,1,1
33,1,1,0,1,1,0,3,1
74,4,0,0,0,0,1,3,1
60,1,1,0,0,0,0,2,1
60,1,1,0,0,0,0,2,1
39,1,1,0,1,1,0,3,1
54,1,1,0,0,0,0,2,1
45,2,0,0,0,0,1,1,1
43,1,1,1,0,0,0,3,1
38,2,0,0,0,0,1,1,1
38,1,1,0,1,1,0,2,1
381,4,1,0,1,1,0,1,1
43,4,0,0,0,0,1,1,1
76,1,1,1,0,0,1,1,1
32,1,1,1,0,0,1,1,1
32,1,1,1,0,0,1,1,1
37,3,0,0,0,0,1,3,1
63,1,1,1,0,0,1,1,1
90,1,0,0,0,1,0,3,1
60,1,1,0,1,1,0,3,1
39,4,0,0,0,0,0,3,1
228,1,0,0,0,0,0,2,1
49,1,1,1,0,0,1,1,1
49,1,1,0,0,0,1,1,1
48,4,0,1,0,0,0,1,1
55,1,1,0,0,0,0,2,1
80,4,0,0,0,0,1,1,1
47,4,0,1,0,0,0,1,1
28,4,1,0,0,0,1,2,1
122,3,1,0,0,0,1,1,1
35,1,1,0,0,0,1,1,1
42,1,1,1,1,1,1,1,1
77,4,1,0,0,0,0,3,1
108,4,0,0,0,0,0,3,1
108,4,0,0,0,0,0,3,1
22,4,0,1,0,0,1,1,1
30,1,0,1,0,0,1,3,1
53,1,1,0,0,0,1,1,1
54,4,0,0,0,0,0,3,1
53,4,0,0,0,0,0,3,1
139,1,0,0,1,1,0,1,1
90,4,0,0,0,0,0,2,1
38,1,0,0,0,0,0,3,1
54,4,0,0,0,0,1,1,1
49,1,1,0,0,0,0,3,1
27,1,1,0,0,0,0,1,1
26,1,1,0,0,0,0,1,1
44,1,1,1,0,0,1,1,1
24,1,0,0,0,1,0,1,1
23,1,0,0,0,1,0,1,1
39,1,1,0,0,0,0,3,1
31,1,0,1,0,0,1,3,1
36,1,1,0,0,0,0,1,1
60,4,0,0,0,0,0,1,1
43,4,0,0,0,0,1,1,1
54,2,0,0,0,0,1,1,1
64,1,1,0,0,0,0,1,1
71,4,0,0,1,1,0,3,1
72,1,1,0,0,0,1,1,1
49,1,1,1,1,1,1,1,1
31,4,0,0,0,0,1,1,1
71,1,0,0,0,0,1,1,1
46,1,1,0,0,0,0,3,1
34,1,1,0,0,0,0,2,1
35,1,1,0,0,0,0,2,1
31,1,1,0,0,0,0,2,1
30,1,1,0,0,0,0,2,1
65,1,0,0,0,0,0,1,1
56,1,1,0,0,0,0,2,1
56,4,1,0,0,0,0,3,1
26,4,0,0,0,0,1,2,1
25,4,0,0,0,0,1,2,1
44,1,1,0,0,0,1,1,1
43,2,0,0,0,0,1,1,1
42,2,0,0,0,0,1,1,1
52,2,0,0,0,0,1,1,1
50,4,1,1,0,0,1,1,1
52,4,1,1,0,0,1,1,1
51,4,1,1,0,0,1,1,1
51,3,0,0,0,0,0,2,1
32,1,1,0,0,0,0,1,1
35,1,1,1,1,1,1,1,1
45,2,0,0,0,0,1,1,1
44,2,0,0,0,0,1,1,1
46,1,1,0,0,0,0,1,1
52,2,0,0,0,0,1,1,1
38,4,0,0,0,0,0,3,1
75,1,1,0,0,0,0,2,1
55,4,1,0,0,0,0,3,1
41,3,1,1,0,0,1,2,1
69,3,1,0,0,0,1,2,1
71,4,0,0,0,0,0,3,1
56,1,1,0,0,0,0,2,1
60,1,1,0,0,0,0,3,1
66,1,1,0,0,0,0,2,1
62,4,1,0,0,0,1,1,1
72,1,0,0,0,0,1,1,1
72,1,0,0,0,0,1,1,1
64,4,0,0,1,1,1,1,1
48,1,1,0,0,0,0,2,1
270,1,1,0,0,0,0,2,1
43,4,0,0,0,0,0,2,1
52,4,0,0,0,0,0,1,1
52,4,1,1,0,0,0,3,1
45,1,0,0,1,1,0,1,1
25,1,1,0,0,0,1,1,1
